,DEPTH,GR,NPHI,PE,RHOB,AC,Lithology
1130,816.0,26.25,0.292,1.77,2.188,315.3,0
1131,816.04,25.0,0.29,1.72,2.193,316.17,0
1132,816.08,21.13,0.282,1.7,2.19,317.44,0
1133,816.12,19.81,0.269,1.75,2.183,319.11,0
1134,816.16,22.05,0.267,1.76,2.189,321.01,0
1135,816.2,24.48,0.256,1.73,2.195,322.88,0
1136,816.24,25.79,0.255,1.69,2.2,324.36,0
1137,816.28,27.25,0.259,1.66,2.212,325.19,0
1138,816.32,28.72,0.265,1.64,2.22,325.28,0
1139,816.36,26.49,0.265,1.64,2.22,324.7,0
1140,816.4,20.6,0.267,1.67,2.217,323.66,0
1141,816.44,18.84,0.266,1.69,2.203,322.36,0
1142,816.48,22.97,0.268,1.69,2.193,320.98,0
1143,816.52,25.8,0.27,1.72,2.192,319.54,0
1144,816.56,26.24,0.264,1.79,2.192,318.09,0
1145,816.6,27.0,0.259,1.87,2.187,316.59,0
1146,816.64,28.67,0.259,1.84,2.191,315.18,0
1147,816.68,29.58,0.262,1.72,2.216,313.95,0
1148,816.72,27.95,0.257,1.63,2.252,313.05,0
1149,816.76,24.5,0.26,1.63,2.273,312.51,0
1150,816.8,21.72,0.259,1.66,2.262,312.2,0
1151,816.84,21.83,0.269,1.68,2.247,311.93,0
1152,816.88,22.33,0.275,1.73,2.246,311.59,0
1153,816.92,22.02,0.283,1.77,2.251,311.18,0
1154,816.96,24.2,0.284,1.79,2.253,310.78,0
1155,817.0,28.01,0.281,1.78,2.239,310.52,0
1156,817.04,28.37,0.275,1.73,2.221,310.45,0
1157,817.08,26.17,0.273,1.66,2.213,310.59,0
1158,817.12,24.05,0.267,1.64,2.206,310.96,0
1159,817.16,22.45,0.265,1.71,2.189,311.6,0
1160,817.2,21.37,0.262,1.78,2.175,312.51,0
1161,817.24,21.79,0.272,1.8,2.169,313.62,0
1162,817.28,22.12,0.284,1.78,2.165,314.8,0
1163,817.32,21.8,0.296,1.71,2.168,315.89,0
1164,817.36,22.14,0.294,1.65,2.173,316.84,0
1165,817.4,22.32,0.286,1.61,2.174,317.7,0
1166,817.44,19.71,0.281,1.61,2.174,318.56,0
1167,817.48,18.39,0.278,1.63,2.174,319.56,0
1168,817.52,18.04,0.279,1.64,2.166,320.68,0
1169,817.56,18.85,0.277,1.64,2.158,321.78,0
1170,817.6,21.14,0.28,1.67,2.153,322.64,0
1171,817.64,21.26,0.278,1.7,2.148,323.14,0
1172,817.68,18.77,0.276,1.71,2.144,323.27,0
1173,817.72,17.78,0.28,1.68,2.144,323.14,0
1174,817.76,19.63,0.278,1.65,2.147,322.9,0
1175,817.8,20.77,0.277,1.65,2.141,322.65,0
1176,817.84,18.9,0.271,1.63,2.141,322.45,0
1177,817.88,17.17,0.261,1.65,2.145,322.28,0
1178,817.92,17.43,0.249,1.71,2.143,322.12,0
1179,817.96,18.83,0.248,1.7,2.149,321.93,0
1180,818.0,20.12,0.26,1.67,2.157,321.73,0
1181,818.04,21.36,0.269,1.7,2.155,321.48,0
1182,818.08,22.46,0.273,1.8,2.144,321.13,0
1183,818.12,23.61,0.274,1.93,2.139,320.68,0
1184,818.16,24.65,0.271,1.96,2.147,320.12,0
1185,818.2,25.67,0.265,1.88,2.158,319.5,0
1186,818.24,25.13,0.259,1.76,2.163,318.87,0
1187,818.28,24.43,0.269,1.68,2.165,318.27,0
1188,818.32,23.51,0.283,1.66,2.157,317.73,0
1189,818.36,20.88,0.286,1.67,2.14,317.3,0
1190,818.4,19.65,0.287,1.68,2.136,317.02,0
1191,818.44,20.79,0.286,1.63,2.155,316.86,0
1192,818.48,21.23,0.278,1.59,2.171,316.73,0
1193,818.52,20.93,0.265,1.6,2.169,316.47,0
1194,818.56,23.04,0.252,1.61,2.164,316.0,0
1195,818.6,25.93,0.253,1.63,2.155,315.35,0
1196,818.64,25.56,0.262,1.65,2.145,314.71,0
1197,818.68,22.66,0.266,1.67,2.153,314.28,0
1198,818.72,20.63,0.263,1.66,2.177,314.14,0
1199,818.76,21.02,0.253,1.62,2.191,314.24,0
1200,818.8,21.62,0.251,1.62,2.181,314.42,0
1201,818.84,20.27,0.251,1.66,2.162,314.46,0
1202,818.88,17.88,0.255,1.7,2.153,314.24,0
1203,818.92,18.28,0.253,1.7,2.169,313.77,0
1204,818.96,20.64,0.254,1.64,2.193,313.16,0
1205,819.0,20.56,0.259,1.65,2.197,312.56,0
1206,819.04,18.95,0.263,1.71,2.185,312.09,0
1207,819.08,18.52,0.267,1.68,2.179,311.76,0
1208,819.12,20.14,0.261,1.61,2.177,311.46,0
1209,819.16,23.55,0.256,1.62,2.172,311.09,0
1210,819.2,25.22,0.252,1.66,2.173,310.56,0
1211,819.24,25.67,0.26,1.65,2.179,309.9,0
1212,819.28,25.39,0.276,1.65,2.179,309.21,0
1213,819.32,23.84,0.274,1.73,2.164,308.59,0
1214,819.36,22.02,0.269,1.8,2.149,308.09,0
1215,819.4,19.13,0.263,1.81,2.15,307.69,0
1216,819.44,16.93,0.259,1.77,2.162,307.35,0
1217,819.48,16.89,0.255,1.67,2.178,307.05,0
1218,819.52,18.46,0.248,1.58,2.185,306.79,0
1219,819.56,20.81,0.247,1.59,2.175,306.6,0
1220,819.6,21.1,0.251,1.62,2.173,306.52,0
1221,819.64,20.36,0.255,1.61,2.178,306.53,0
1222,819.68,20.95,0.263,1.54,2.192,306.58,0
1223,819.72,23.68,0.267,1.48,2.205,306.66,0
1224,819.76,24.08,0.266,1.52,2.191,306.73,0
1225,819.8,21.23,0.263,1.6,2.174,306.81,0
1226,819.84,19.29,0.27,1.66,2.173,306.94,0
1227,819.88,20.14,0.269,1.67,2.174,307.17,0
1228,819.92,21.98,0.254,1.63,2.172,307.61,0
1229,819.96,22.84,0.252,1.61,2.173,308.34,0
1230,820.0,21.73,0.253,1.61,2.174,309.42,0
1231,820.04,21.56,0.254,1.65,2.171,310.81,0
1232,820.08,22.66,0.256,1.7,2.171,312.35,0
1233,820.12,21.76,0.262,1.68,2.178,313.82,0
1234,820.16,19.26,0.268,1.65,2.176,315.02,0
1235,820.2,20.22,0.274,1.69,2.154,315.86,0
1236,820.24,22.1,0.282,1.72,2.144,316.41,0
1237,820.28,20.29,0.278,1.69,2.15,316.83,0
1238,820.32,17.76,0.277,1.69,2.144,317.36,0
1239,820.36,17.55,0.273,1.75,2.13,318.2,0
1240,820.4,18.57,0.272,1.77,2.12,319.35,0
1241,820.44,20.93,0.272,1.73,2.122,320.66,0
1242,820.48,23.16,0.268,1.66,2.14,321.77,0
1243,820.52,21.2,0.268,1.6,2.158,322.3,0
1244,820.56,19.55,0.264,1.57,2.166,322.05,0
1245,820.6,19.26,0.27,1.59,2.165,321.13,0
1246,820.64,18.67,0.28,1.6,2.168,319.9,0
1247,820.68,20.45,0.279,1.58,2.177,318.76,0
1248,820.72,22.98,0.279,1.57,2.187,317.93,0
1249,820.76,23.63,0.277,1.6,2.195,317.46,0
1250,820.8,22.52,0.275,1.64,2.195,317.24,0
1251,820.84,21.18,0.273,1.67,2.188,317.15,0
1252,820.88,19.11,0.27,1.68,2.175,317.14,0
1253,820.92,18.07,0.262,1.69,2.153,317.13,0
1254,820.96,17.96,0.255,1.69,2.142,317.09,0
1255,821.0,19.72,0.255,1.66,2.15,316.94,0
1256,821.04,22.34,0.259,1.63,2.161,316.62,0
1257,821.08,22.7,0.266,1.65,2.159,316.17,0
1258,821.12,22.27,0.266,1.69,2.16,315.65,0
1259,821.16,23.3,0.261,1.71,2.167,315.17,0
1260,821.2,23.57,0.264,1.73,2.168,314.79,0
1261,821.24,21.36,0.259,1.77,2.166,314.53,0
1262,821.28,19.18,0.266,1.82,2.176,314.32,0
1263,821.32,18.42,0.274,1.81,2.189,314.08,0
1264,821.36,18.56,0.273,1.73,2.194,313.74,0
1265,821.4,19.37,0.273,1.65,2.189,313.33,0
1266,821.44,20.33,0.27,1.65,2.169,312.99,0
1267,821.48,20.69,0.268,1.71,2.156,312.85,0
1268,821.52,22.32,0.264,1.72,2.171,313.0,0
1269,821.56,23.88,0.265,1.7,2.182,313.38,0
1270,821.6,22.85,0.273,1.7,2.177,313.9,0
1271,821.64,20.71,0.28,1.68,2.177,314.46,0
1272,821.68,19.54,0.279,1.69,2.177,315.04,0
1273,821.72,19.3,0.277,1.7,2.17,315.6,0
1274,821.76,19.09,0.275,1.67,2.169,316.09,0
1275,821.8,18.02,0.276,1.66,2.175,316.42,0
1276,821.84,16.32,0.275,1.65,2.176,316.59,0
1277,821.88,15.53,0.276,1.62,2.175,316.67,0
1278,821.92,17.26,0.278,1.63,2.165,316.81,0
1279,821.96,19.34,0.277,1.68,2.164,317.14,0
1280,822.0,18.79,0.281,1.69,2.17,317.66,0
1281,822.04,17.92,0.274,1.67,2.167,318.27,0
1282,822.08,19.16,0.28,1.63,2.166,318.86,0
1283,822.12,19.17,0.293,1.62,2.171,319.35,0
1284,822.16,17.38,0.298,1.65,2.176,319.8,0
1285,822.2,16.32,0.302,1.68,2.17,320.31,0
1286,822.24,17.61,0.295,1.67,2.158,320.99,0
1287,822.28,20.63,0.282,1.67,2.151,321.84,0
1288,822.32,21.51,0.274,1.66,2.163,322.72,0
1289,822.36,21.43,0.28,1.67,2.176,323.44,0
1290,822.4,22.01,0.291,1.69,2.172,323.84,0
1291,822.44,22.53,0.301,1.67,2.162,323.88,0
1292,822.48,24.09,0.304,1.64,2.166,323.63,0
1293,822.52,24.27,0.3,1.66,2.174,323.31,0
1294,822.56,21.61,0.289,1.73,2.173,323.11,0
1295,822.6,20.31,0.28,1.75,2.169,323.12,0
1296,822.64,22.02,0.271,1.73,2.163,323.33,0
1297,822.68,23.18,0.267,1.73,2.156,323.67,0
1298,822.72,22.41,0.267,1.73,2.15,324.04,0
1299,822.76,22.38,0.276,1.72,2.148,324.32,0
1300,822.8,23.22,0.283,1.71,2.15,324.4,0
1301,822.84,20.03,0.281,1.64,2.162,324.22,0
1302,822.88,18.34,0.278,1.59,2.173,323.81,0
1303,822.92,18.87,0.273,1.63,2.172,323.3,0
1304,822.96,18.36,0.28,1.71,2.15,322.85,0
1305,823.0,17.49,0.289,1.75,2.136,322.56,0
1306,823.04,17.82,0.287,1.71,2.147,322.46,0
1307,823.08,20.1,0.282,1.65,2.162,322.52,0
1308,823.12,21.17,0.277,1.62,2.166,322.68,0
1309,823.16,19.65,0.275,1.63,2.163,322.92,0
1310,823.2,17.32,0.268,1.6,2.168,323.22,0
1311,823.24,15.55,0.273,1.56,2.176,323.54,0
1312,823.28,14.81,0.275,1.61,2.168,323.87,0
1313,823.32,16.79,0.283,1.72,2.148,324.2,0
1314,823.36,19.41,0.285,1.78,2.135,324.5,0
1315,823.4,18.83,0.282,1.76,2.13,324.77,0
1316,823.44,18.51,0.289,1.73,2.126,324.91,0
1317,823.48,19.25,0.284,1.73,2.123,324.82,0
1318,823.52,18.99,0.278,1.71,2.126,324.43,0
1319,823.56,20.05,0.272,1.67,2.134,323.73,0
1320,823.6,21.14,0.275,1.65,2.14,322.86,0
1321,823.64,20.25,0.279,1.68,2.139,322.01,0
1322,823.68,19.97,0.284,1.7,2.142,321.36,0
1323,823.72,22.01,0.28,1.68,2.146,320.96,0
1324,823.76,22.79,0.289,1.64,2.146,320.75,0
1325,823.8,20.54,0.278,1.63,2.149,320.66,0
1326,823.84,19.17,0.271,1.66,2.16,320.61,0
1327,823.88,18.32,0.27,1.69,2.165,320.55,0
1328,823.92,16.05,0.274,1.73,2.157,320.43,0
1329,823.96,16.02,0.282,1.74,2.16,320.21,0
1330,824.0,18.61,0.285,1.72,2.171,319.85,0
1331,824.04,19.99,0.28,1.75,2.17,319.37,0
1332,824.08,20.5,0.278,1.82,2.163,318.86,0
1333,824.12,19.96,0.28,1.85,2.166,318.44,0
1334,824.16,18.4,0.285,1.87,2.166,318.2,0
1335,824.2,16.79,0.283,1.83,2.158,318.16,0
1336,824.24,16.37,0.28,1.76,2.147,318.29,0
1337,824.28,16.92,0.277,1.67,2.141,318.52,0
1338,824.32,19.11,0.278,1.62,2.138,318.84,0
1339,824.36,22.07,0.271,1.66,2.133,319.24,0
1340,824.4,25.88,0.273,1.72,2.134,319.73,0
1341,824.44,27.56,0.271,1.74,2.135,320.23,0
1342,824.48,24.61,0.271,1.73,2.137,320.67,0
1343,824.52,21.3,0.271,1.69,2.152,321.0,0
1344,824.56,20.25,0.27,1.65,2.171,321.22,0
1345,824.6,21.14,0.268,1.6,2.178,321.39,0
1346,824.64,19.3,0.267,1.6,2.171,321.52,0
1347,824.68,17.28,0.269,1.6,2.159,321.63,0
1348,824.72,18.95,0.279,1.6,2.144,321.7,0
1349,824.76,22.09,0.282,1.63,2.123,321.74,0
1350,824.8,22.78,0.278,1.66,2.111,321.72,0
1351,824.84,20.21,0.271,1.69,2.113,321.61,0
1352,824.88,19.2,0.27,1.7,2.12,321.34,0
1353,824.92,21.13,0.272,1.71,2.128,320.87,0
1354,824.96,24.46,0.277,1.68,2.137,320.22,0
1355,825.0,23.93,0.275,1.64,2.146,319.58,0
1356,825.04,20.67,0.265,1.59,2.152,319.19,0
1357,825.08,20.32,0.259,1.56,2.158,319.17,0
1358,825.12,21.83,0.261,1.56,2.163,319.51,0
1359,825.16,22.09,0.267,1.6,2.155,320.07,0
1360,825.2,22.04,0.273,1.63,2.143,320.66,0
1361,825.24,20.79,0.273,1.63,2.144,321.15,0
1362,825.28,18.79,0.276,1.63,2.151,321.5,0
1363,825.32,18.06,0.283,1.66,2.153,321.68,0
1364,825.36,18.01,0.288,1.69,2.15,321.7,0
1365,825.4,17.54,0.296,1.66,2.154,321.51,0
1366,825.44,17.71,0.298,1.61,2.16,321.16,0
1367,825.48,19.87,0.286,1.57,2.16,320.74,0
1368,825.52,22.4,0.271,1.58,2.151,320.38,0
1369,825.56,21.9,0.274,1.63,2.143,320.21,0
1370,825.6,19.05,0.283,1.71,2.133,320.23,0
1371,825.64,18.15,0.292,1.81,2.128,320.35,0
1372,825.68,19.75,0.291,1.83,2.134,320.45,0
1373,825.72,20.64,0.278,1.75,2.143,320.45,0
1374,825.76,17.89,0.279,1.7,2.149,320.39,0
1375,825.8,15.02,0.28,1.71,2.149,320.44,0
1376,825.84,16.29,0.282,1.71,2.148,320.78,0
1377,825.88,20.04,0.292,1.7,2.145,321.6,0
1378,825.92,21.49,0.289,1.7,2.138,322.89,0
1379,825.96,21.45,0.287,1.7,2.13,324.51,0
1380,826.0,21.14,0.29,1.71,2.123,326.07,0
1381,826.04,21.32,0.295,1.7,2.122,327.07,0
1382,826.08,23.53,0.284,1.74,2.13,327.15,0
1383,826.12,25.93,0.279,1.78,2.138,326.33,0
1384,826.16,24.89,0.27,1.75,2.139,325.06,0
1385,826.2,22.69,0.264,1.68,2.144,323.91,0
1386,826.24,22.39,0.259,1.63,2.155,323.27,0
1387,826.28,23.28,0.263,1.68,2.161,323.22,0
1388,826.32,21.79,0.266,1.72,2.158,323.55,0
1389,826.36,19.38,0.272,1.71,2.155,323.94,0
1390,826.4,19.74,0.275,1.74,2.155,324.18,0
1391,826.44,20.59,0.278,1.8,2.165,324.21,0
1392,826.48,21.35,0.286,1.83,2.171,324.08,0
1393,826.52,21.82,0.287,1.81,2.157,323.86,0
1394,826.56,20.48,0.284,1.76,2.152,323.57,0
1395,826.6,18.13,0.279,1.71,2.169,323.2,0
1396,826.64,18.58,0.28,1.72,2.182,322.67,0
1397,826.68,19.98,0.282,1.77,2.176,321.98,0
1398,826.72,19.28,0.282,1.77,2.167,321.18,0
1399,826.76,17.69,0.281,1.74,2.17,320.37,0
1400,826.8,18.41,0.286,1.74,2.168,319.65,0
1401,826.84,20.22,0.29,1.75,2.159,319.03,0
1402,826.88,21.41,0.285,1.73,2.153,318.48,0
1403,826.92,21.11,0.279,1.7,2.152,318.02,0
1404,826.96,19.42,0.275,1.68,2.142,317.68,0
1405,827.0,17.65,0.279,1.67,2.126,317.58,0
1406,827.04,18.6,0.279,1.7,2.114,317.8,0
1407,827.08,20.59,0.273,1.74,2.112,318.33,0
1408,827.12,20.61,0.281,1.74,2.115,319.03,0
1409,827.16,19.94,0.288,1.71,2.119,319.69,0
1410,827.2,19.26,0.285,1.72,2.116,320.09,0
1411,827.24,18.95,0.278,1.74,2.112,320.16,0
1412,827.28,19.36,0.272,1.72,2.122,319.96,0
1413,827.32,17.7,0.273,1.67,2.142,319.64,0
1414,827.36,17.1,0.27,1.63,2.149,319.32,0
1415,827.4,19.79,0.276,1.6,2.149,319.05,0
1416,827.44,24.37,0.279,1.57,2.156,318.81,0
1417,827.48,27.53,0.278,1.57,2.162,318.54,0
1418,827.52,27.39,0.264,1.59,2.155,318.21,0
1419,827.56,24.33,0.261,1.63,2.145,317.84,0
1420,827.6,20.36,0.269,1.68,2.149,317.49,0
1421,827.64,18.98,0.274,1.67,2.163,317.23,0
1422,827.68,20.34,0.287,1.59,2.169,317.13,0
1423,827.72,23.44,0.292,1.55,2.166,317.25,0
1424,827.76,24.71,0.285,1.59,2.159,317.58,0
1425,827.8,23.48,0.267,1.67,2.158,318.01,0
1426,827.84,21.63,0.258,1.7,2.16,318.42,0
1427,827.88,21.32,0.257,1.7,2.159,318.67,0
1428,827.92,22.09,0.265,1.7,2.157,318.73,0
1429,827.96,21.53,0.278,1.7,2.156,318.65,0
1430,828.0,20.87,0.281,1.65,2.163,318.57,0
1431,828.04,20.34,0.281,1.6,2.169,318.66,0
1432,828.08,20.39,0.279,1.59,2.161,319.05,0
1433,828.12,21.38,0.287,1.64,2.144,319.72,0
1434,828.16,21.99,0.291,1.64,2.142,320.56,0
1435,828.2,20.91,0.293,1.57,2.149,321.43,0
1436,828.24,20.15,0.295,1.56,2.152,322.17,0
1437,828.28,20.63,0.299,1.64,2.148,322.68,0
1438,828.32,19.84,0.298,1.73,2.137,323.01,0
1439,828.36,21.0,0.289,1.75,2.125,323.27,0
1440,828.4,24.15,0.286,1.67,2.124,323.57,0
1441,828.44,24.35,0.277,1.58,2.135,324.03,0
1442,828.48,21.9,0.282,1.55,2.14,324.71,0
1443,828.52,20.07,0.297,1.58,2.127,325.61,0
1444,828.56,18.55,0.315,1.6,2.118,326.61,0
1445,828.6,16.89,0.313,1.61,2.122,327.57,0
1446,828.64,17.08,0.305,1.63,2.121,328.38,0
1447,828.68,18.3,0.297,1.69,2.11,329.0,0
1448,828.72,17.94,0.285,1.74,2.112,329.49,0
1449,828.76,17.94,0.273,1.8,2.117,329.94,0
1450,828.8,21.22,0.264,1.82,2.108,330.47,0
1451,828.84,24.79,0.267,1.82,2.101,331.12,0
1452,828.88,24.85,0.271,1.8,2.105,331.89,0
1453,828.92,23.43,0.284,1.79,2.109,332.69,0
1454,828.96,23.46,0.29,1.76,2.11,333.42,0
1455,829.0,24.26,0.279,1.76,2.105,333.98,0
1456,829.04,26.19,0.275,1.79,2.103,334.38,0
1457,829.08,27.78,0.279,1.74,2.117,334.66,0
1458,829.12,26.96,0.285,1.68,2.137,334.83,0
1459,829.16,25.85,0.289,1.7,2.144,334.89,0
1460,829.2,24.45,0.299,1.73,2.151,334.73,0
1461,829.24,23.61,0.295,1.74,2.165,334.28,0
1462,829.28,23.83,0.291,1.8,2.169,333.55,0
1463,829.32,23.77,0.29,1.84,2.172,332.68,0
1464,829.36,25.0,0.292,1.81,2.171,331.9,0
1465,829.4,24.26,0.286,1.74,2.162,331.4,0
1466,829.44,21.74,0.289,1.68,2.151,331.25,0
1467,829.48,21.02,0.291,1.67,2.14,331.37,0
1468,829.52,21.7,0.284,1.68,2.131,331.63,0
1469,829.56,21.75,0.281,1.68,2.128,331.86,0
1470,829.6,21.63,0.284,1.67,2.135,331.98,0
1471,829.64,23.95,0.295,1.69,2.143,331.93,0
1472,829.68,26.94,0.295,1.72,2.137,331.69,0
1473,829.72,26.35,0.298,1.68,2.133,331.2,0
1474,829.76,22.27,0.301,1.6,2.131,330.45,0
1475,829.8,19.47,0.299,1.6,2.126,329.47,0
1476,829.84,16.92,0.296,1.61,2.127,328.3,0
1477,829.88,14.35,0.287,1.6,2.129,327.04,0
1478,829.92,15.54,0.285,1.62,2.132,325.74,0
1479,829.96,18.16,0.281,1.64,2.139,324.48,0
1480,830.0,18.7,0.287,1.65,2.142,323.32,0
1481,830.04,17.58,0.298,1.66,2.134,322.31,0
1482,830.08,17.54,0.31,1.65,2.135,321.44,0
1483,830.12,17.94,0.304,1.64,2.145,320.66,0
1484,830.16,18.65,0.282,1.65,2.147,319.85,0
1485,830.2,19.87,0.263,1.67,2.147,318.91,0
1486,830.24,19.51,0.252,1.67,2.154,317.79,0
1487,830.28,18.1,0.244,1.7,2.162,316.58,0
1488,830.32,18.78,0.247,1.71,2.176,315.44,0
1489,830.36,20.23,0.245,1.69,2.192,314.53,0
1490,830.4,21.01,0.251,1.72,2.193,313.98,0
1491,830.44,21.75,0.256,1.73,2.189,313.81,0
1492,830.48,20.96,0.266,1.7,2.192,313.97,0
1493,830.52,20.07,0.264,1.7,2.188,314.31,0
1494,830.56,18.51,0.26,1.69,2.181,314.69,0
1495,830.6,16.98,0.255,1.66,2.182,314.99,0
1496,830.64,16.4,0.26,1.66,2.181,315.18,0
1497,830.68,17.56,0.261,1.68,2.174,315.3,0
1498,830.72,18.75,0.261,1.73,2.165,315.44,0
1499,830.76,18.75,0.257,1.74,2.163,315.65,0
1500,830.8,18.43,0.258,1.7,2.167,315.96,0
1501,830.84,18.37,0.26,1.68,2.166,316.37,0
1502,830.88,19.42,0.265,1.7,2.163,316.88,0
1503,830.92,22.94,0.277,1.67,2.164,317.54,0
1504,830.96,25.83,0.279,1.58,2.164,318.4,0
1505,831.0,24.03,0.28,1.53,2.157,319.48,0
1506,831.04,20.14,0.28,1.55,2.148,320.75,0
1507,831.08,17.45,0.284,1.6,2.14,322.05,0
1508,831.12,17.47,0.28,1.64,2.134,323.25,0
1509,831.16,19.38,0.286,1.66,2.126,324.26,0
1510,831.2,20.01,0.294,1.67,2.119,325.07,0
1511,831.24,19.04,0.299,1.67,2.119,325.81,0
1512,831.28,19.15,0.293,1.69,2.122,326.59,0
1513,831.32,18.82,0.288,1.68,2.129,327.5,0
1514,831.36,18.28,0.294,1.63,2.144,328.63,0
1515,831.4,19.2,0.296,1.6,2.16,330.01,0
1516,831.44,19.93,0.289,1.57,2.169,331.61,0
1517,831.48,22.06,0.291,1.54,2.175,333.35,0
1518,831.52,24.88,0.288,1.56,2.173,335.06,0
1519,831.56,27.13,0.286,1.6,2.162,336.52,0
1520,831.6,27.43,0.287,1.62,2.149,337.52,0
1521,831.64,25.09,0.288,1.61,2.145,337.94,0
1522,831.68,23.35,0.296,1.61,2.142,337.83,0
1523,831.72,24.23,0.302,1.66,2.129,337.41,0
1524,831.76,23.73,0.303,1.72,2.115,337.03,0
1525,831.8,21.9,0.294,1.71,2.114,337.02,0
1526,831.84,22.58,0.297,1.66,2.129,337.57,0
1527,831.88,22.21,0.304,1.63,2.143,338.7,0
1528,831.92,19.69,0.31,1.64,2.145,340.27,0
1529,831.96,16.36,0.317,1.67,2.138,342.05,0
1530,832.0,16.32,0.308,1.69,2.134,343.79,0
1531,832.04,20.25,0.3,1.67,2.139,345.3,0
1532,832.08,24.63,0.303,1.66,2.147,346.48,0
1533,832.12,25.33,0.308,1.73,2.15,347.27,0
1534,832.16,25.3,0.314,1.89,2.154,347.65,0
1535,832.2,26.01,0.314,2.1,2.158,347.69,0
1536,832.24,27.12,0.325,2.31,2.159,347.43,0
1537,832.28,25.83,0.328,2.45,2.153,346.97,0
1538,832.32,24.06,0.333,2.51,2.135,346.37,0
1539,832.36,22.84,0.325,2.55,2.118,345.65,0
1540,832.4,20.0,0.308,2.48,2.111,344.77,0
1541,832.44,19.06,0.295,2.31,2.113,343.68,0
1542,832.48,21.32,0.295,2.08,2.123,342.34,0
1543,832.52,23.94,0.296,1.9,2.133,340.79,0
1544,832.56,25.23,0.299,1.79,2.143,339.1,0
1545,832.6,24.77,0.295,1.71,2.154,337.34,0
1546,832.64,22.55,0.288,1.67,2.155,335.61,0
1547,832.68,22.07,0.288,1.65,2.142,334.04,0
1548,832.72,23.82,0.288,1.64,2.132,332.77,0
1549,832.76,23.79,0.287,1.66,2.129,332.01,0
1550,832.8,22.5,0.294,1.69,2.131,331.83,0
1551,832.84,22.08,0.295,1.66,2.142,332.15,0
1552,832.88,22.37,0.3,1.63,2.152,332.75,0
1553,832.92,22.59,0.3,1.6,2.146,333.34,0
1554,832.96,21.74,0.295,1.58,2.137,333.73,0
1555,833.0,20.23,0.295,1.59,2.132,333.84,0
1556,833.04,20.11,0.299,1.64,2.128,333.76,0
1557,833.08,21.82,0.298,1.67,2.12,333.62,0
1558,833.12,23.12,0.287,1.71,2.11,333.53,0
1559,833.16,24.53,0.285,1.69,2.111,333.51,0
1560,833.2,25.21,0.288,1.66,2.118,333.49,0
1561,833.24,23.2,0.289,1.66,2.12,333.38,0
1562,833.28,20.33,0.287,1.69,2.117,333.14,0
1563,833.32,19.32,0.284,1.69,2.115,332.79,0
1564,833.36,20.07,0.292,1.67,2.127,332.43,0
1565,833.4,19.93,0.287,1.64,2.139,332.22,0
1566,833.44,19.27,0.284,1.64,2.133,332.27,0
1567,833.48,20.63,0.282,1.62,2.127,332.62,0
1568,833.52,23.29,0.288,1.6,2.14,333.21,0
1569,833.56,23.0,0.285,1.6,2.168,333.93,0
1570,833.6,21.81,0.287,1.55,2.195,334.62,0
1571,833.64,21.03,0.287,1.48,2.205,335.16,0
1572,833.68,19.23,0.291,1.49,2.198,335.51,0
1573,833.72,17.62,0.29,1.6,2.19,335.74,0
1574,833.76,16.84,0.293,1.66,2.185,335.99,0
1575,833.8,17.93,0.296,1.62,2.182,336.37,0
1576,833.84,21.33,0.296,1.59,2.181,336.89,0
1577,833.88,21.66,0.287,1.62,2.167,337.47,0
1578,833.92,18.58,0.28,1.65,2.155,338.04,0
1579,833.96,16.01,0.276,1.67,2.145,338.56,0
1580,834.0,16.02,0.278,1.69,2.136,339.07,0
1581,834.04,17.29,0.286,1.67,2.138,339.7,0
1582,834.08,19.1,0.298,1.64,2.147,340.58,0
1583,834.12,22.42,0.308,1.65,2.155,341.73,0
1584,834.16,25.66,0.316,1.7,2.163,343.05,0
1585,834.2,24.18,0.318,1.73,2.17,344.2,0
1586,834.24,21.57,0.311,1.71,2.176,344.75,0
1587,834.28,21.35,0.299,1.68,2.18,344.39,0
1588,834.32,21.64,0.29,1.66,2.179,343.05,0
1589,834.36,22.49,0.282,1.68,2.165,341.04,0
1590,834.4,24.61,0.284,1.7,2.159,338.83,0
1591,834.44,25.36,0.284,1.67,2.172,336.89,0
1592,834.48,23.68,0.293,1.63,2.176,335.48,0
1593,834.52,21.41,0.308,1.64,2.163,334.65,0
1594,834.56,20.32,0.315,1.64,2.155,334.25,0
1595,834.6,20.51,0.298,1.64,2.156,334.03,0
1596,834.64,20.2,0.284,1.64,2.16,333.73,0
1597,834.68,21.23,0.279,1.64,2.153,333.17,0
1598,834.72,25.6,0.278,1.65,2.141,332.4,0
1599,834.76,28.25,0.272,1.63,2.14,331.55,0
1600,834.8,25.67,0.268,1.63,2.142,330.93,0
1601,834.84,25.17,0.269,1.63,2.143,330.74,0
1602,834.88,28.72,0.272,1.64,2.137,331.07,0
1603,834.92,30.57,0.289,1.65,2.13,331.87,0
1604,834.96,29.33,0.294,1.67,2.137,332.94,0
1605,835.0,30.13,0.31,1.68,2.154,334.09,0
1606,835.04,31.53,0.32,1.7,2.171,335.19,0
1607,835.08,30.75,0.317,1.71,2.168,336.23,0
1608,835.12,29.6,0.3,1.74,2.14,337.21,0
1609,835.16,29.6,0.294,1.76,2.12,338.17,0
1610,835.2,29.42,0.295,1.76,2.123,339.12,0
